facilityInternal,agencyInternal,stateInternal,company,createdAt,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
"Taycheedah Correctional Institution - TCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:35.990Z","Taycheedah Correctional Institution","751 Co Rd K, Fond du Lac, WI 54937, United States","-88.3883666","43.7982215","Fond du Lac County","ChIJw3ZVJeuJA4gRwNRhkQrpWno","WI"
"Oshkosh Correctional Institution - OSCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:40.971Z","Oshkosh Correctional Institution","1730 W Snell Rd, Oshkosh, WI 54901, United States","-88.5615462","44.0692813","Winnebago County","ChIJNUnwYPPpA4gRpDulw37AdWA","WI"
"Columbia Correctional Institution - CCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:45.463Z","Columbia Correctional Institution","2925 Columbia Dr #127, Portage, WI 53901, United States","-89.49059969999999","43.5664078","Columbia County","ChIJf5fYm-5G74gRnyfZgdqliJg","WI"
"New Lisbon Correctional Institution - NLCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:49.965Z","New Lisbon Correctional Institution","2000 Progress Rd, New Lisbon, WI 53950, United States","-90.13177499999999","43.8811854","Juneau County","ChIJz3Sj8-kF_ocRYTqqUYL8URI","WI"
"Lincoln Hills School/Copper Lake School - LHS/CLS","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:55.179Z","Lincoln Hills School","W4380 Copper Lake Ave, Irma, WI 54442, United States","-89.63968779999999","45.3264716","Lincoln County","ChIJk9TtV7kVVU0RfAJrgI4Msec","WI"
"Chippewa Valley Correctional Treatment Facility - CVCTF","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:25:59.765Z","Chippewa Valley Correctional","2909 E Park Ave, Chippewa Falls, WI 54729, United States","-91.3499772","44.928746","Chippewa County","ChIJp2hSFrqo-IcR97gpWoMgpXU","WI"
"Saint Croix Correctional Center - SCCC","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:04.083Z","St. Croix Correctional Center","1859 N 4th St, New Richmond, WI 54017, United States","-92.57063439999999","45.1304917","St. Croix County","ChIJZTHIhe2lslIRHBiuAAOtw_k","WI"
"Racine Correctional Institution - RCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:07.893Z","Racine Correctional Institution","2019 Wisconsin St, Sturtevant, WI 53177, United States","-87.9022158","42.71073759999999","Racine County","ChIJmV1_sJJoBYgRFrD8QVRFwQ0","WI"
"Black River Falls Correctional Center - BRCC","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:11.655Z","Black River Correctional Center","W6898 E Staffon Rd #507, Black River Falls, WI 54615, United States","-90.6521839","44.3577855","Jackson County","ChIJ6Y65H37-_ocRh0zpa_8ZyNM","WI"
"Stanley Correctional Institution - SCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:16.870Z","Stanley Correctional Institution","100 Corrections Dr, Stanley, WI 54768, United States","-90.95181769999999","44.9478946","Chippewa County","ChIJ57htRPBe_4cRkDz9pqIcopI","WI"
"Redgranite Correctional Institution - RGCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:21.980Z","Redgranite Correctional Institute","1006 County Rd EE, Redgranite, WI 54970, United States","-89.10763879999999","44.0538254","Waushara County","ChIJDxLKlF8VAYgRJK2r_0rJSfU","WI"
"Prairie du Chein Correctional Institution - PDCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:26.872Z","Prairie Du Chien Correctional","500 E Parrish St, Prairie du Chien, WI 53821, United States","-91.1410106","43.0342492","Crawford County","ChIJa-3oMGeD_IcRpo5O3f2Rx3k","WI"
"Waupun Correctional Institution - WCI","Wisconsin - Marshall Sherrer Correctional Center - MSCC","WI","ICS","2021-01-07T23:26:31.451Z","Waupun Correctional Institute","200 S Madison St, Waupun, WI 53963, United States","-88.73158889999999","43.6296869","Dodge County","ChIJc57AxsocBIgRz1QD6yeNzrc","WI"
"Thompson Correctional Center - TCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:26:42.151Z","Thompson Correctional Center","434 State Farm Rd, Deerfield, WI 53531, United States","-89.04493509999999","43.0244708","Dane County","ChIJW-j9LSVmBogRegV5-b3O9mw","WI"
"Milwaukee Womens Correctional Center - MWCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:26:45.267Z","Milwaukee Women's Correctional Center","615 W Keefe Ave, Milwaukee, WI 53212, United States","-87.9188944","43.0814735","Milwaukee County","ChIJn7WoibMeBYgRIpNcP8G7d1o","WI"
"John C. Burke Correctional Center - JCBCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:26:49.853Z","John C Burke Correctional Center","900 S Madison St, Waupun, WI 53963, United States","-88.7361986","43.6207471","Dodge County","ChIJt14kgs8cBIgRzLYQL_9DvPY","WI"
"McNaughton Correctional Center - MCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:26:54.454Z","Mc Naughton Correctional Center","8500 Rainbow Rd, Lake Tomahawk, WI 54539, United States","-89.6309924","45.8005658","Oneida County","ChIJZ3lR8Gi8VU0RTu9uoNeVLuo","WI"
"Robert E Ellsworth Correctional Center - REECC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:26:58.375Z","Robert Ellsworth Correctional","21425 Spring St # A, Union Grove, WI 53182, United States","-88.0806384","42.6966715","Racine County","ChIJPV6tgKVwBYgRCqa4JEYVlPw","WI"
"Marshall Sherrer Correctional Center - MSCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:02.788Z","Marshall E Sherrer Correction","1318 N 14th St, Milwaukee, WI 53205, United States","-87.92964339999999","43.0475614","Milwaukee County","ChIJ6zxG7HwZBYgRlSTlsCsl6mY","WI"
"Jackson Correctional Institution - JCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:09.058Z","Jackson Correctional Institution","N6500 Haipek Rd, Black River Falls, WI 54615, United States","-90.79061949999999","44.3053654","Jackson County","ChIJtU9inWTk_ocRQ3GM_VY1X0s","WI"
"Kettle Moraine Correctional Institution - KMCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:12.780Z","Kettle Moraine Correctional Institution","W9071 Forest Dr, Plymouth, WI 53073, United States","-88.1491317","43.72350309999999","Sheboygan County","ChIJPY5nlAydBIgRoDfQaQ0Sb-o","WI"
"Dodge Correctional Institution - DCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:17.251Z","Dodge Correctional Institute","1 W Lincoln St, Waupun, WI 53963, United States","-88.73969029999999","43.6242095","Dodge County","ChIJ6W2E9MscBIgRbRfsU4S92X0","WI"
"Fox Lake Correctional Institution - FLCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:22.191Z","Fox Lake Correctional Institution","W10237 Lake Emily Rd, Fox Lake, WI 53933, United States","-88.9130011","43.6149518","Dodge County","ChIJhYN04ZClBogR1Az6TCVpoFY","WI"
"SUFFOLK COUNTY JAIL BOOKING","","NY","SECURUS","2021-01-09T00:44:31.184Z","Suffolk County Sheriff's Office Riverhead Correctional Facility","100 Center Dr S, Riverhead, NY 11901, United States","-72.6710288","40.9147018","Suffolk County","ChIJiS_o5Cz16IkRrqE4nw5DEsY","NY"
"Drug Abuse Correctional Center - DACC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:31.591Z","Drug Abuse Correctional Center","54985, 4280 Sherman Rd, Oshkosh, WI 54901, United States","-88.51502769999999","44.07936489999999","Winnebago County","ChIJYw6Dd4fqA4gRbUiL-mi1fpc","WI"
"Kenosha Correctional Center - KCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:39.068Z","Kenosha Correctional Center","6353 14th Ave, Kenosha, WI 53143, United States","-87.8265155","42.5761335","Kenosha County","ChIJEWcyT05eBYgRYfeJVAwy_Jg","WI"
"Milwaukee Secured Detention Facility - MSDF","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:41.169Z","Milwaukee Secure Detention Facility","1015 N 10th St, Milwaukee, WI 53233, United States","-87.92464179999999","43.0433928","Milwaukee County","ChIJUWtc6HkZBYgRJvXB0SJwfjs","WI"
"Flambeau Correctional Center - FCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:46.259Z","Flambeau Correctional Center","N671 Co Rd M, Winter, WI 54896, United States","-90.740935","45.656576","Sawyer County","ChIJx3n4LFu5q1IRiIxuGsjCLOM","WI"
"Felmers O. Chaney Correctional Center - FOCCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:51.590Z","Felmers O. Chaney Correctional Center","2825 N 30th St, Milwaukee, WI 53210, United States","-87.95187659999999","43.070132","Milwaukee County","ChIJsQQYlvIbBYgR6qYb8d_2kok","WI"
"Racine Youthful Offenders Correctional Facility -RYOCF","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:27:56.472Z","Racine Youthful Offender Correctional Facility","1501 Albert St, Racine, WI 53404, United States","-87.7993116","42.7369827","Racine County","ChIJOwT96bxDBYgRsrVnqy0inA4","WI"
"GROW Academy - GROW","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:01.456Z","Grow","Grow, WI, USA","-90.97754619999999","45.4268082","Rusk County","ChIJc9QbU8Ntq1IRcTPPKsc0wwc","WI"
"Sanger B. Powers Correctional Center - SPCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:20.071Z","Sanger Powers Correctional Center","N8375 County Road U, Oneida, WI 54155, United States","-88.1917526","44.5408489","Outagamie County","ChIJFVl_tyNYAogRRRvQtHZev44","WI"
"Gordon Correctional Center - GCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:24.272Z","Gordon Correctional Center","10401 Co Rd G, Gordon, WI 54838, United States","-91.7540128","46.2324103","Douglas County","ChIJhzoPK9GCrlIRJBYWOCFAieI","WI"
"Winnebago Correctional Center - WCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:29.579Z","Winnebago Correctional Center","4300 Sherman Rd, Winnebago, WI 54985, United States","-88.513379","44.0649541","Winnebago County","ChIJM6ztffTqA4gRdhlEzVUZE4I","WI"
"Sturtevant Transitional Facility - STF","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:34.254Z","Sturtevant Transitional Facility","9351 Rayne Rd, Sturtevant, WI 53177, United States","-87.8987349","42.71312590000001","Racine County","ChIJwZkcr_ZoBYgRod1oZoZeUmE","WI"
"Oakhill Correctional Institution - OCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:37.974Z","Oakhill Correctional Institute","5212 County Hwy M, Oregon, WI 53575, United States","-89.3946216","42.961263","Dane County","ChIJ3fSsg02zB4gRy61_cQaBWRs","WI"
"Wisconsin Secure Program Facility - WSPF","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:42.993Z","Wisconsin Secure Program Facility","1101 Morrison Dr, Boscobel, WI 53805, United States","-90.68297299999999","43.1432007","Grant County","ChIJh_uAANH4_IcRclJ-9a03La8","WI"
"Green Bay Correctional Institution - GBCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:47.868Z","Green Bay Correctional Institution","2833 Riverside Dr, Allouez, WI 54301, United States","-88.03717549999999","44.4705164","Brown County","ChIJOWkXCm77AogRw4wMEJBJquk","WI"
"Taycheedah Correctional Institution - TCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:51.983Z","Taycheedah Correctional Institution","751 Co Rd K, Fond du Lac, WI 54937, United States","-88.3883666","43.7982215","Fond du Lac County","ChIJw3ZVJeuJA4gRwNRhkQrpWno","WI"
"Oshkosh Correctional Institution - OSCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:28:56.754Z","Oshkosh Correctional Institution","1730 W Snell Rd, Oshkosh, WI 54901, United States","-88.5615462","44.0692813","Winnebago County","ChIJNUnwYPPpA4gRpDulw37AdWA","WI"
"Columbia Correctional Institution - CCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:00.183Z","Columbia Correctional Institution","2925 Columbia Dr #127, Portage, WI 53901, United States","-89.49059969999999","43.5664078","Columbia County","ChIJf5fYm-5G74gRnyfZgdqliJg","WI"
"New Lisbon Correctional Institution - NLCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:04.466Z","New Lisbon Correctional Institution","2000 Progress Rd, New Lisbon, WI 53950, United States","-90.13177499999999","43.8811854","Juneau County","ChIJz3Sj8-kF_ocRYTqqUYL8URI","WI"
"Lincoln Hills School/Copper Lake School - LHS/CLS","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:08.772Z","Lincoln Hills School","W4380 Copper Lake Ave, Irma, WI 54442, United States","-89.63968779999999","45.3264716","Lincoln County","ChIJk9TtV7kVVU0RfAJrgI4Msec","WI"
"Chippewa Valley Correctional Treatment Facility - CVCTF","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:11.978Z","Chippewa Valley Correctional","2909 E Park Ave, Chippewa Falls, WI 54729, United States","-91.3499772","44.928746","Chippewa County","ChIJp2hSFrqo-IcR97gpWoMgpXU","WI"
"Saint Croix Correctional Center - SCCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:16.182Z","St. Croix Correctional Center","1859 N 4th St, New Richmond, WI 54017, United States","-92.57063439999999","45.1304917","St. Croix County","ChIJZTHIhe2lslIRHBiuAAOtw_k","WI"
"Racine Correctional Institution - RCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:20.181Z","Racine Correctional Institution","2019 Wisconsin St, Sturtevant, WI 53177, United States","-87.9022158","42.71073759999999","Racine County","ChIJmV1_sJJoBYgRFrD8QVRFwQ0","WI"
"Black River Falls Correctional Center - BRCC","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:24.187Z","Black River Correctional Center","W6898 E Staffon Rd #507, Black River Falls, WI 54615, United States","-90.6521839","44.3577855","Jackson County","ChIJ6Y65H37-_ocRh0zpa_8ZyNM","WI"
"Stanley Correctional Institution - SCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:28.453Z","Stanley Correctional Institution","100 Corrections Dr, Stanley, WI 54768, United States","-90.95181769999999","44.9478946","Chippewa County","ChIJ57htRPBe_4cRkDz9pqIcopI","WI"
"Redgranite Correctional Institution - RGCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:32.357Z","Redgranite Correctional Institute","1006 County Rd EE, Redgranite, WI 54970, United States","-89.10763879999999","44.0538254","Waushara County","ChIJDxLKlF8VAYgRJK2r_0rJSfU","WI"
"Prairie du Chein Correctional Institution - PDCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:37.059Z","Prairie Du Chien Correctional","500 E Parrish St, Prairie du Chien, WI 53821, United States","-91.1410106","43.0342492","Crawford County","ChIJa-3oMGeD_IcRpo5O3f2Rx3k","WI"
"Waupun Correctional Institution - WCI","Wisconsin - GROW Academy - GROW","WI","ICS","2021-01-07T23:29:41.158Z","Waupun Correctional Institute","200 S Madison St, Waupun, WI 53963, United States","-88.73158889999999","43.6296869","Dodge County","ChIJc57AxsocBIgRz1QD6yeNzrc","WI"
"Thompson Correctional Center - TCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:29:51.787Z","Thompson Correctional Center","434 State Farm Rd, Deerfield, WI 53531, United States","-89.04493509999999","43.0244708","Dane County","ChIJW-j9LSVmBogRegV5-b3O9mw","WI"
"Milwaukee Womens Correctional Center - MWCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:29:55.387Z","Milwaukee Women's Correctional Center","615 W Keefe Ave, Milwaukee, WI 53212, United States","-87.9188944","43.0814735","Milwaukee County","ChIJn7WoibMeBYgRIpNcP8G7d1o","WI"
"John C. Burke Correctional Center - JCBCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:29:59.462Z","John C Burke Correctional Center","900 S Madison St, Waupun, WI 53963, United States","-88.7361986","43.6207471","Dodge County","ChIJt14kgs8cBIgRzLYQL_9DvPY","WI"
"McNaughton Correctional Center - MCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:03.675Z","Mc Naughton Correctional Center","8500 Rainbow Rd, Lake Tomahawk, WI 54539, United States","-89.6309924","45.8005658","Oneida County","ChIJZ3lR8Gi8VU0RTu9uoNeVLuo","WI"
"Robert E Ellsworth Correctional Center - REECC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:22.882Z","Robert Ellsworth Correctional","21425 Spring St # A, Union Grove, WI 53182, United States","-88.0806384","42.6966715","Racine County","ChIJPV6tgKVwBYgRCqa4JEYVlPw","WI"
"Marshall Sherrer Correctional Center - MSCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:27.355Z","Marshall E Sherrer Correction","1318 N 14th St, Milwaukee, WI 53205, United States","-87.92964339999999","43.0475614","Milwaukee County","ChIJ6zxG7HwZBYgRlSTlsCsl6mY","WI"
"Jackson Correctional Institution - JCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:32.768Z","Jackson Correctional Institution","N6500 Haipek Rd, Black River Falls, WI 54615, United States","-90.79061949999999","44.3053654","Jackson County","ChIJtU9inWTk_ocRQ3GM_VY1X0s","WI"
"Kettle Moraine Correctional Institution - KMCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:36.980Z","Kettle Moraine Correctional Institution","W9071 Forest Dr, Plymouth, WI 53073, United States","-88.1491317","43.72350309999999","Sheboygan County","ChIJPY5nlAydBIgRoDfQaQ0Sb-o","WI"
"Dodge Correctional Institution - DCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:41.201Z","Dodge Correctional Institute","1 W Lincoln St, Waupun, WI 53963, United States","-88.73969029999999","43.6242095","Dodge County","ChIJ6W2E9MscBIgRbRfsU4S92X0","WI"
"Fox Lake Correctional Institution - FLCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:45.455Z","Fox Lake Correctional Institution","W10237 Lake Emily Rd, Fox Lake, WI 53933, United States","-88.9130011","43.6149518","Dodge County","ChIJhYN04ZClBogR1Az6TCVpoFY","WI"
"Oregon Correctional Center - OCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:50.270Z","Oregon Correctional Center","5140 County Hwy M, Fitchburg, WI 53575, United States","-89.39771449999999","42.9511419","Dane County","ChIJgTZOgC8IB4gRxBIFWYaHI8Y","WI"
"Drug Abuse Correctional Center - DACC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:54.390Z","Drug Abuse Correctional Center","54985, 4280 Sherman Rd, Oshkosh, WI 54901, United States","-88.51502769999999","44.07936489999999","Winnebago County","ChIJYw6Dd4fqA4gRbUiL-mi1fpc","WI"
"Kenosha Correctional Center - KCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:30:58.889Z","Kenosha Correctional Center","6353 14th Ave, Kenosha, WI 53143, United States","-87.8265155","42.5761335","Kenosha County","ChIJEWcyT05eBYgRYfeJVAwy_Jg","WI"
"Milwaukee Secured Detention Facility - MSDF","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:03.582Z","Milwaukee Secure Detention Facility","1015 N 10th St, Milwaukee, WI 53233, United States","-87.92464179999999","43.0433928","Milwaukee County","ChIJUWtc6HkZBYgRJvXB0SJwfjs","WI"
"Flambeau Correctional Center - FCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:07.750Z","Flambeau Correctional Center","N671 Co Rd M, Winter, WI 54896, United States","-90.740935","45.656576","Sawyer County","ChIJx3n4LFu5q1IRiIxuGsjCLOM","WI"
"Felmers O. Chaney Correctional Center - FOCCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:13.065Z","Felmers O. Chaney Correctional Center","2825 N 30th St, Milwaukee, WI 53210, United States","-87.95187659999999","43.070132","Milwaukee County","ChIJsQQYlvIbBYgR6qYb8d_2kok","WI"
"Racine Youthful Offenders Correctional Facility -RYOCF","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:17.286Z","Racine Youthful Offender Correctional Facility","1501 Albert St, Racine, WI 53404, United States","-87.7993116","42.7369827","Racine County","ChIJOwT96bxDBYgRsrVnqy0inA4","WI"
"GROW Academy - GROW","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:22.393Z","Grow","Grow, WI, USA","-90.97754619999999","45.4268082","Rusk County","ChIJc9QbU8Ntq1IRcTPPKsc0wwc","WI"
"MO DOC - CREMER THERAPEUTIC COMMUNITY CENTER","","MO","SECURUS","2021-01-09T00:13:57.226Z","Cremer Therapeutic Community","689 E 2nd St, Fulton, MO 65251, United States","-91.93827499999999","38.8450197","Callaway County","ChIJ9dp3UAKP3IcR6ee4JqrSkZM","MO"
"Sanger B. Powers Correctional Center - SPCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:27.495Z","Sanger Powers Correctional Center","N8375 County Road U, Oneida, WI 54155, United States","-88.1917526","44.5408489","Outagamie County","ChIJFVl_tyNYAogRRRvQtHZev44","WI"
"Gordon Correctional Center - GCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:31.479Z","Gordon Correctional Center","10401 Co Rd G, Gordon, WI 54838, United States","-91.7540128","46.2324103","Douglas County","ChIJhzoPK9GCrlIRJBYWOCFAieI","WI"
"Winnebago Correctional Center - WCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:36.070Z","Winnebago Correctional Center","4300 Sherman Rd, Winnebago, WI 54985, United States","-88.513379","44.0649541","Winnebago County","ChIJM6ztffTqA4gRdhlEzVUZE4I","WI"
"Sturtevant Transitional Facility - STF","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:41.181Z","Sturtevant Transitional Facility","9351 Rayne Rd, Sturtevant, WI 53177, United States","-87.8987349","42.71312590000001","Racine County","ChIJwZkcr_ZoBYgRod1oZoZeUmE","WI"
"Oakhill Correctional Institution - OCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:45.076Z","Oakhill Correctional Institute","5212 County Hwy M, Oregon, WI 53575, United States","-89.3946216","42.961263","Dane County","ChIJ3fSsg02zB4gRy61_cQaBWRs","WI"
"Wisconsin Secure Program Facility - WSPF","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:49.183Z","Wisconsin Secure Program Facility","1101 Morrison Dr, Boscobel, WI 53805, United States","-90.68297299999999","43.1432007","Grant County","ChIJh_uAANH4_IcRclJ-9a03La8","WI"
"Green Bay Correctional Institution - GBCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:53.290Z","Green Bay Correctional Institution","2833 Riverside Dr, Allouez, WI 54301, United States","-88.03717549999999","44.4705164","Brown County","ChIJOWkXCm77AogRw4wMEJBJquk","WI"
"Taycheedah Correctional Institution - TCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:31:57.090Z","Taycheedah Correctional Institution","751 Co Rd K, Fond du Lac, WI 54937, United States","-88.3883666","43.7982215","Fond du Lac County","ChIJw3ZVJeuJA4gRwNRhkQrpWno","WI"
"Oshkosh Correctional Institution - OSCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:00.977Z","Oshkosh Correctional Institution","1730 W Snell Rd, Oshkosh, WI 54901, United States","-88.5615462","44.0692813","Winnebago County","ChIJNUnwYPPpA4gRpDulw37AdWA","WI"
"Columbia Correctional Institution - CCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:05.075Z","Columbia Correctional Institution","2925 Columbia Dr #127, Portage, WI 53901, United States","-89.49059969999999","43.5664078","Columbia County","ChIJf5fYm-5G74gRnyfZgdqliJg","WI"
"New Lisbon Correctional Institution - NLCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:24.285Z","New Lisbon Correctional Institution","2000 Progress Rd, New Lisbon, WI 53950, United States","-90.13177499999999","43.8811854","Juneau County","ChIJz3Sj8-kF_ocRYTqqUYL8URI","WI"
"Lincoln Hills School/Copper Lake School - LHS/CLS","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:29.961Z","Lincoln Hills School","W4380 Copper Lake Ave, Irma, WI 54442, United States","-89.63968779999999","45.3264716","Lincoln County","ChIJk9TtV7kVVU0RfAJrgI4Msec","WI"
"Chippewa Valley Correctional Treatment Facility - CVCTF","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:34.553Z","Chippewa Valley Correctional","2909 E Park Ave, Chippewa Falls, WI 54729, United States","-91.3499772","44.928746","Chippewa County","ChIJp2hSFrqo-IcR97gpWoMgpXU","WI"
"Saint Croix Correctional Center - SCCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:40.165Z","St. Croix Correctional Center","1859 N 4th St, New Richmond, WI 54017, United States","-92.57063439999999","45.1304917","St. Croix County","ChIJZTHIhe2lslIRHBiuAAOtw_k","WI"
"Racine Correctional Institution - RCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:45.089Z","Racine Correctional Institution","2019 Wisconsin St, Sturtevant, WI 53177, United States","-87.9022158","42.71073759999999","Racine County","ChIJmV1_sJJoBYgRFrD8QVRFwQ0","WI"
"Black River Falls Correctional Center - BRCC","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:49.861Z","Black River Correctional Center","W6898 E Staffon Rd #507, Black River Falls, WI 54615, United States","-90.6521839","44.3577855","Jackson County","ChIJ6Y65H37-_ocRh0zpa_8ZyNM","WI"
"Stanley Correctional Institution - SCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:54.255Z","Stanley Correctional Institution","100 Corrections Dr, Stanley, WI 54768, United States","-90.95181769999999","44.9478946","Chippewa County","ChIJ57htRPBe_4cRkDz9pqIcopI","WI"
"Redgranite Correctional Institution - RGCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:32:59.165Z","Redgranite Correctional Institute","1006 County Rd EE, Redgranite, WI 54970, United States","-89.10763879999999","44.0538254","Waushara County","ChIJDxLKlF8VAYgRJK2r_0rJSfU","WI"
"Prairie du Chein Correctional Institution - PDCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:33:04.280Z","Prairie Du Chien Correctional","500 E Parrish St, Prairie du Chien, WI 53821, United States","-91.1410106","43.0342492","Crawford County","ChIJa-3oMGeD_IcRpo5O3f2Rx3k","WI"
"Waupun Correctional Institution - WCI","Wisconsin - Thompson Correctional Center - TCC","WI","ICS","2021-01-07T23:33:08.856Z","Waupun Correctional Institute","200 S Madison St, Waupun, WI 53963, United States","-88.73158889999999","43.6296869","Dodge County","ChIJc57AxsocBIgRz1QD6yeNzrc","WI"
